,date,Time,District,DTP_V,POG,RAN,K_TS,K_UCH,n_p,street,house,dor,factor,s_pog,s_pch,osv,COORD_W,COORD_L,OBJ_DTP,change_org_motion
0,28.02.2020,04:00,Курортный район,Наезд на препятствие,0,1,1,1,п Репино,ул Привокзальная,8,,Сведения отсутствуют,Ясно,Сухое,"В темное время суток, освещение включено",60.176275,29.852568,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
1,27.02.2020,13:50,Курортный район,Столкновение,0,1,2,3,г Зеленогорск,ш Приморское,566,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.192508,29.679855,Остановка общественного транспорта,Движение частично перекрыто
2,25.02.2020,18:00,Курортный район,Съезд с дороги,0,1,1,2,г Санкт-Петербург,,,Зеленогорское шоссе,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.139798,29.988781,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
3,24.02.2020,14:03,Курортный район,Наезд на стоящее ТС,0,2,6,3,г Санкт-Петербург,,,Западный скоростной диаметр,"Наличие на проезжей части неисправного ТС, мешающего движению",Ясно,Сухое,Светлое время суток,60.139343,30.041959,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
4,17.02.2020,17:40,Курортный район,Столкновение,0,2,2,4,г Сестрорецк,ш Приморское,315,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.122377,29.977001,АЗС,Движение частично перекрыто
5,12.02.2020,12:42,Курортный район,Столкновение,0,1,2,3,г Санкт-Петербург,,,Зеленогорское шоссе,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.194865,29.752958,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
6,12.02.2020,11:00,Курортный район,Съезд с дороги,0,2,1,2,г Санкт-Петербург,,,А-123 Зеленогорск - Приморск - Выборг,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.220229,29.487133,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
7,02.02.2020,23:50,Курортный район,Наезд на препятствие,0,1,1,1,г Санкт-Петербург,,,А-181 Скандинавия Санкт-Петербург - Выборг - граница с Финляндской Республикой (основное направление),Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",60.117887,29.969137,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
8,02.02.2020,15:00,Курортный район,Отбрасывание предмета,0,1,1,2,г Зеленогорск,ул Красных Курсантов,16,,Сведения отсутствуют,Пасмурно,Заснеженное,Светлое время суток,60.204015,29.7001,Крупный торговый объект (являющийся объектом массового тяготения пешеходов и (или) транспорта),Режим движения не изменялся
9,31.01.2020,23:15,Курортный район,Столкновение,0,3,2,3,г Сестрорецк,,,,Сведения отсутствуют,Ясно,Обработанное противогололедными материалами,"В темное время суток, освещение включено",60.087856,29.965743,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
10,26.01.2020,18:00,Курортный район,Столкновение,0,1,3,2,г Санкт-Петербург,,,А-118 Кольцевая автомобильная дорога вокруг г. Санкт-Петербурга,Сведения отсутствуют,Дождь,Мокрое,"В темное время суток, освещение включено",60.050553,30.083055,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
11,25.01.2020,20:10,Курортный район,Наезд на препятствие,0,1,1,1,г Санкт-Петербург,,,,Сведения отсутствуют,Ясно,Сухое,"В темное время суток, освещение включено",60.154738,29.9739,"Эстакада, путепровод",Движение частично перекрыто
12,24.01.2020,08:40,Курортный район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,,,Зеленогорское шоссе,"Участок, оборудованный искусственными неровностями и обозначенный соответствующими дорожными знаками и разметкой",Туман,Мокрое,"В темное время суток, освещение включено",60.183707,29.810157,Нерегулируемый пешеходный переход,Режим движения не изменялся
13,22.01.2020,14:50,Курортный район,Столкновение,0,1,2,3,г Сестрорецк,ш Приморское,270,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.085623,29.956734,Остановка общественного транспорта,Режим движения не изменялся
14,15.01.2020,18:25,Курортный район,Наезд на пешехода,0,1,1,2,п Песочный,ул Пограничная,59,,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",60.127384,30.13096,Нерегулируемый пешеходный переход,Режим движения не изменялся
15,13.01.2020,18:35,Курортный район,Столкновение,0,1,2,2,п Песочный,ул Советская,21,,"Участок, оборудованный искусственными неровностями и обозначенный соответствующими дорожными знаками и разметкой",Пасмурно,Мокрое,"В темное время суток, освещение включено",60.1218,30.154574,Остановка общественного транспорта,Движение частично перекрыто
16,11.01.2020,07:30,Курортный район,Столкновение,0,1,2,2,г Санкт-Петербург,,,А-123 Зеленогорск - Приморск - Выборг,Сведения отсутствуют,Ясно,Мокрое,Светлое время суток,60.178276,29.447436,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
17,05.01.2020,02:37,Курортный район,Столкновение,1,2,2,3,г Санкт-Петербург,,,Зеленогорское шоссе,Сведения отсутствуют,Пасмурно,Обработанное противогололедными материалами,"В темное время суток, освещение включено",60.160815,29.928929,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
18,02.01.2020,22:00,Курортный район,Наезд на пешехода,2,1,1,3,г Сестрорецк,ш Приморское,352,,Сведения отсутствуют,Пасмурно,Сухое,"В темное время суток, освещение включено",60.109366,29.972377,Кладбище,Режим движения не изменялся
19,01.01.2020,23:45,Курортный район,Столкновение,0,1,2,2,п Песочный,ул Ленинградская,77,,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",60.119426,30.174894,Многоквартирные жилые дома,Движение частично перекрыто
20,01.01.2020,06:32,Курортный район,Наезд на препятствие,0,4,1,4,п Смолячково,ш Приморское,678,,Сведения отсутствуют,Ясно,Обработанное противогололедными материалами,"В темное время суток, освещение включено",60.180522,29.489493,Административные здания,Режим движения не изменялся
21,25.12.2019,08:50,Курортный район,Наезд на пешехода,0,1,1,2,г Сестрорецк,ш Дубковское,2,,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",60.092915,29.957399,Крупный торговый объект (являющийся объектом массового тяготения пешеходов и (или) транспорта),Режим движения не изменялся
22,25.12.2019,10:20,Курортный район,Съезд с дороги,2,0,1,2,п Комарово,ш Приморское,6.152,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.174584,29.801702,Остановка общественного транспорта,Движение частично перекрыто
23,21.12.2019,14:43,Курортный район,Наезд на стоящее ТС,0,1,3,3,п Белоостров,ш Новое,2,,Сведения отсутствуют,Пасмурно,Сухое,"В темное время суток, освещение включено",60.144581,30.007696,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
24,19.12.2019,08:45,Курортный район,Столкновение,0,1,2,2,п Репино,ул Луговая,4,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.165759,29.868206,Регулируемый перекрёсток,Режим движения не изменялся
25,14.12.2019,22:55,Курортный район,Наезд на препятствие,0,1,1,1,п Песочный,ш Белоостровское,1,,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",60.130497,30.114902,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
